,mode_id,success,stable,severity,f_angle,f_freq,f_voltage,angle_sep_deg,freq_dev_hz,voltage_dip,sim_time
115,115,True,False,0.9765552120904204,0.9547835442607819,1.0,0.9966537598401175,171.86103796694076,3.5298952275424753,0.9966537598401175,1.2084319591522217
116,116,True,False,0.6051275428633917,0.5238816729128084,0.37569051503465545,0.9970563105932945,94.29870112430551,0.7513810300693109,0.9970563105932945,1.026548147201538
117,117,True,False,0.8620482127857924,1.0,0.45120321017085274,0.9969896409723168,182.66259497190057,0.9024064203417055,0.9969896409723168,0.5273911952972412
118,118,True,False,0.8377961534196465,1.0,0.354214471660832,0.9969701420177544,181.377588593804,0.708428943321664,0.9969701420177544,0.310227632522583
119,119,True,False,0.6172131978467235,0.5450622456578345,0.38168231336779,0.997045986703435,98.1112042184102,0.76336462673558,0.997045986703435,1.2784638404846191
120,120,True,False,0.9596838048328666,0.9210205636053597,1.0,0.9966940921207472,165.78370144896473,3.847205864209556,0.9966940921207472,0.9580388069152832
121,121,True,False,0.820296515828415,1.0,0.28417534796044563,0.9970107153532146,180.81740606740763,0.5683506959208913,0.9970107153532146,0.5239014625549316
122,122,True,False,0.873191159860046,1.0,0.495701348301715,0.9970632911384693,182.89588880750736,0.99140269660343,0.9970632911384693,0.30251455307006836
123,123,True,False,0.510794059158859,0.3797500076326012,0.28667009897873896,0.9970061223914947,68.35500137386822,0.5733401979574779,0.9970061223914947,0.9916136264801025
124,124,True,False,0.770221885674717,0.7394668428822532,0.6048960199895639,0.9970578369447982,133.10403171880557,1.2097920399791278,0.9970578369447982,1.2983534336090088
